DATE,NAME,COMMITTEE,CATEGORY
2017-10-11,Full Committee â€“ Public Hearing RE: Examining the 2017 Agenda for the Commodity Futures Trading Commission,House Committee on Agriculture,Policy
2017-07-18,Subcommittee on Nutrition â€“ Public Hearing RE: The Next Farm Bill: Pathways to Success for SNAP Households,House Committee on Agriculture,Legislative
2017-07-12,Full Committee â€“ Public Hearing RE: The Next Farm Bill: Technology & Innovation in Specialty Crops,House Committee on Agriculture,Legislative
2017-06-22,Full Committee â€“ Public Hearing: RE: The Next Farm Bill: University Research,House Committee on Agriculture,Legislative
2017-06-07,Full Committee â€“ Public Hearing RE: The Next Farm Bill: The Future of International Food Aid and Agricultural Development,House Committee on Agriculture,Legislative
2017-05-17,Full Committee â€“ Public Hearing RE: State of the Rural Economy: Secretary of Agriculture Sonny Perdue,House Committee on Agriculture,Policy
2017-04-04,Subcommittee on General Farm Commodities and Risk Management â€“ Public Hearing RE: The Next Farm Bill: Commodity Policy Part II,House Committee on Agriculture,Legislative
2017-03-28,Subcommittee on General Farm Commodities and Risk Management â€“ Public Hearing RE: The Next Farm Bill: Commodity Policy Part I,House Committee on Agriculture,Legislative
2017-03-22,Full Committee â€“ Public Hearing RE: The Next Farm Bill: Dairy Policy,House Committee on Agriculture,Legislative
2017-03-21,Subcommittee on Livestock and Foreign Agricultureâ€“ Public Hearing RE: The Next Farm Bill: Livestock Producer Perspectives,House Committee on Agriculture,Legislative
2017-03-16,"Subcommittee on Biotechnology, Horticulture, and Research â€“ Public Hearing RE: The Next Farm Bill: Agricultural Research",House Committee on Agriculture,Legislative
2017-02-15,Full Committee â€“ Public Hearing RE: Rural Economic Outlook: Setting the Stage for the Next Farm Bill,House Committee on Agriculture,Legislative
2016-11-16,"Full Committee â€“ Public Hearing RE: Past, Present, and Future of SNAP: Opportunities for Improving Access to Food",House Committee on Agriculture,Policy
2016-09-14,Full Committee â€“ Public Hearing RE: American Agricultural Trade with Cuba,House Committee on Agriculture,Policy
2016-06-22,"Full Committee â€“ Public Hearing RE: Past, Present, and Future of SNAP: Evaluating Effectiveness and Outcomes in Nutrition Education",House Committee on Agriculture,Policy
2018-07-11,Department of Defense's Role in Foreign Assistance,House Committee on Armed Services,Policy
2018-06-22,Space Situational Awareness: Whole of Government Perspectives on Roles and Responsibilities,House Committee on Armed Services,Policy
2018-06-21,Aviation Mishap Prevention - a Progress Report,House Committee on Armed Services,Policy
2018-06-21,"Military Technology Transfer: Threats, Impacts, and Solutions for the Department of Defense",House Committee on Armed Services,Policy
2018-06-20,"Military Health System Reform: Pain Management, Opioids Prescription Management and Reporting Transparency",House Committee on Armed Services,Policy
2018-06-13,Department of Defense Aviation Safety Mishap Review and Oversight Process,House Committee on Armed Services,Policy
2018-04-13,Military Personnel Posture: FY 2019,House Committee on Armed Services,Policy
2018-03-21,Military Personnel Posture: FY 2019,House Committee on Armed Services,Policy
2018-03-20,Navy Readiness Posture,House Committee on Armed Services,Policy
2018-03-20,Submarine Industrial Base: Options for Construction,House Committee on Armed Services,Policy
2018-03-15,Security Challenges in Europe and Posture for Inter-state Competition with Russia,House Committee on Armed Services,Policy
2018-03-14,"SPACE WARFIGHTING READINESS: POLICIES, AUTHORITIES, AND CAPABILITIES",House Committee on Armed Services,Policy
2018-03-08,Mobility and Transportation Command Posture,House Committee on Armed Services,Policy
2018-03-07,Assessing Military Service Acquisition Reform,House Committee on Armed Services,Policy
2018-03-06,Marine Corps Readiness Posture,House Committee on Armed Services,Policy
2018-03-06,National Security Challenges and U.S. Military Activities in Africa,House Committee on Armed Services,Policy
2018-02-27,Terrorism and Iran: Defense Challenges in the Middle East,House Committee on Armed Services,Policy
2018-02-14,The Military Posture and Security Challenges in the Indo-Asia Pacific Region,House Committee on Armed Services,Policy
2018-02-07,Senior Leader Misconduct: Prevention and Accountability,House Committee on Armed Services,Policy
2018-02-06,"Addressing Physiological Episodes in Fighter, Attack, and Training Aircraft",House Committee on Armed Services,Policy
2018-02-06,The National Defense Strategy and the Nuclear Posture Review,House Committee on Armed Services,Policy
2017-12-01,"Amphibious Warfare Readiness & Training (Interoperability, Shortfalls, and the Way Ahead)",House Committee on Armed Services,Policy
2017-11-09,Aviation Readiness: What's the Flight Plan?,House Committee on Armed Services,Policy
2017-10-03,U.S. Defense Strategy in South Asia,House Committee on Armed Services,Policy
2017-09-27,The Armyâ€™s Tactical Network Modernization Strategy,House Committee on Armed Services,Policy
2017-09-07,Navy Readiness â€“ Underlying Problems Associated with the USS Fitzgerald and USS John S. McCain,House Committee on Armed Services,Agency Conduct
2017-05-18,Amphibious Warfare in a Contested Environment,House Committee on Armed Services,Policy
2017-05-17,Military Personnel Posture: FY 2018,House Committee on Armed Services,Policy
2017-05-02,Overview of the Annual Report on Sexual Harassment and Violence at the Military Service Academies,House Committee on Armed Services,Agency Conduct
2017-05-02,Three Decades Later: A Review and Assessment of Our Special Operations Forces 30-Years After the Creation of U.S. Special Operations Command,House Committee on Armed Services,Policy
2017-03-08,An Independent Fleet Assessment of the U.S. Navy,House Committee on Armed Services,Policy
2018-07-17,Examining the Summer Food Service Program,House Committee on Education and the Workforce,Policy
2018-06-06,Examining the Policies and Priorities of the U.S. Department of Health and Human Services,House Committee on Education and the Workforce,Policy
2018-05-22,Examining the Policies and Priorities of the U.S. Department of Education,House Committee on Education and the Workforce,Policy
2018-02-14,Examining the Government's Management of Native American Schools,House Committee on Education and the Workforce,Policy
2017-11-15,"""Examining the Policies and Priorities of the U.S. Department of Laborâ€",House Committee on Education and the Workforce,Policy
2018-07-18,Monetary Policy and the State of the Economy,House Committee on Financial Services,Policy
2018-06-20,Illicit Use of Virtual Currency and the Law Enforcement Response,House Committee on Financial Services,Private Sector Oversight
2018-02-27,Monetary Policy and the State of the Economy,House Committee on Financial Services,Policy
2017-12-07,Hearing entitled â€œExamining the Office of Financial Researchâ€,House Committee on Financial Services,Policy
2017-11-29,Hearing entitled â€œSustainable Housing Finance: The Role of Ginnie Mae in the Housing Finance Systemâ€,House Committee on Financial Services,Private Sector Oversight
2017-11-08,Hearing entitled â€œAdministration Priorities for the International Financial Institutionsâ€,House Committee on Financial Services,Policy
2017-11-08,Hearing entitled â€œFinancial Intelligence and Enforcement: Treasuryâ€™s Role in Safeguarding the American Financial Systemâ€,House Committee on Financial Services,Policy
2017-10-12,Hearing entitled â€œThe Future of Housing in America: Oversight of the Department of Housing and Urban Developmentâ€,House Committee on Financial Services,Policy
2017-10-03,Hearing entitled â€œSustainable Housing Finance: An Update from the Director of the Federal Housing Finance Agencyâ€,House Committee on Financial Services,Policy
2017-09-07,Hearing entitled â€œOversight of the Financial Industry Regulatory Authorityâ€,House Committee on Financial Services,Policy
2017-07-27,Hearing entitled â€œThe Annual Testimony of the Secretary of the Treasury on the State of the International Financial Systemâ€,House Committee on Financial Services,Policy
2017-07-12,Hearing entitled â€œMonetary Policy and the State of the Economyâ€,House Committee on Financial Services,Policy
2017-04-06,Hearing entitled â€œExamination of the Federal Financial Regulatory System and Opportunities for Reformâ€,House Committee on Financial Services,Policy
2017-04-05,Hearing entitled â€œThe 2016 Semi-Annual Reports of the Bureau of Consumer Financial Protectionâ€,House Committee on Financial Services,Policy
2017-03-22,Hearing entitled â€œThe JOBS Act at Five: Examining Its Impact and Ensuring the Competitiveness of the U.S. Capital Marketsâ€,House Committee on Financial Services,Policy
2017-02-15,Hearing entitled â€œMonetary Policy and the State of the Economyâ€,House Committee on Financial Services,Policy
2013-10-29,After the Withdrawal: The Way Forward in Afghanistan and Pakistan (Part II),House Committee on Foreign Affairs,Policy
2013-03-19,After the Withdrawal: The Way Forward in Afghanistan and Pakistan (Part I),House Committee on Foreign Affairs,Policy
2011-06-16,Africa's Newest Nation: The Republic of Southern Sudan,House Committee on Foreign Affairs,Fact Finding
2018-07-24,Boots at the Border: Examining the National Guard Deployment to the Southwest Border,House Committee on Homeland Security,Policy
2018-03-15,"Preparedness, Response, and Rebuilding Lessons from the 2017 Disasters",House Committee on Homeland Security,Policy
2018-01-30,Securing Our Surface Transportation Systems: Examining the Department of Homeland Security's Role in Surface Transportation Technologies,House Committee on Homeland Security,Policy
2017-11-30,World Wide Threats: Keeping America Secure in the New Age of Terror,House Committee on Homeland Security,Policy
2017-11-14,Looking North: Assessing the Current Threat at ...,House Committee on Homeland Security,Policy
2018-04-26,Waste and Inefficiency in the Federal Government: GAO's 2018 Duplication Report,House Committee on Oversight and Government Reform,Agency Conduct
2018-03-14,State of Play: Federal IT in 2018,House Committee on Oversight and Government Reform,Policy
2017-11-29,Cybersecurity of Voting Machines,House Committee on Oversight and Government Reform,Policy
2018-04-11,Scholars or Spies: Foreign Plots Targeting America's Research and Development,"House Committee on Science, Space, and Technology",Policy
2018-04-25,Review of VA's Life Insurance Programs,House Committee on Veterans' Affairs,Policy
2017-08-30,VA Home Telehealth: Looking Behind the Numbers,House Committee on Veterans' Affairs,Field
2018-04-18,â€œAbuse of Power: Exploitation of Older Americans by Guardians and Others They Trust.â€,Senate Committee on Aging,Private Sector Oversight
2018-03-07,"""Stopping Senior Scams""",Senate Committee on Aging,Private Sector Oversight
2016-03-17,â€œSudden Price Spikes in Decades-Old Rx Drugs: Inside the Monopoly Business Modelâ€,Senate Committee on Aging,Private Sector Oversight
2013-03-13,876-SCAM: Jamaican Phone Fraud Targeting Seniors,Senate Committee on Aging,Private Sector Oversight
2012-06-06,Pension Poachers: Preventing Fraud and Protecting America's Veterans,Senate Committee on Aging,Private Sector Oversight
2011-03-02,"Justice for All: Ending Elder Abuse, Neglect and Financial Exploitation",Senate Committee on Aging,Private Sector Oversight
2009-05-06,Catch Me If You Can: Solutions To STOP Medicare and Medicaid Fraud From Hurting Seniors and Taxpayers,Senate Committee on Aging,Legislative
2011-12-01,Continuing Oversight of the Wall Street Reform and Consumer Protection Act,"Senate Committee on Agriculture, Nutrition, and Forestry",Policy
2015-11-17,Department of Defense Reform â€“ Overcoming Obstacles to Effective Management,Senate Committee on Armed Services,Policy
2014-03-11,OPEN/CLOSED: U.S. Special Operations Command,Senate Committee on Armed Services,Policy
2013-04-09,OPEN/CLOSED: Emerging Counterterrorism Threats,Senate Committee on Armed Services,Policy
